Agency,Station Name,Line,Artist,Art Title,Art Date,Art Material,Art Image Link
NYCT,Sutter Av,L,Takayo Noda,The Habitat for the Yellow Bird,2007,Faceted Glass,https://new.mta.info/agency/arts-design/collection/the-habitat-for-the-yellow-bird
NYCT,Pelham Pkwy,2;5,Tomie Arai,Back to the Garden,2007,Faceted glass,https://new.mta.info/agency/arts-design/collection/back-to-the-garden
NYCT,Mosholu Pkwy,4,Corinne Grondahl,Metromorphosis/Birth of a Station,2008,Fused glass,https://new.mta.info/agency/arts-design/collection/metromorphosis-birth-of-a-station
NYCT,231 St,1,Felipe Galindo,Magic Realism in Kingsbridge,2008,Faceted glass,https://new.mta.info/agency/arts-design/collection/magic-realism-in-kingsbridge
NYCT,Times Sq-42 St,S;1;2;3;7;A;C;E;N;R;Q,Jane Dickson,The Revelers,2008,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/revelers
LIRR,Broadway,City Terminal Zone,Jean Shin,Celadon Remnants,2008,Celadon fragments and glass mosaic on retaining walls and station building,https://new.mta.info/agency/arts-design/collection/celadon-remnants
NYCT,183 St,4,Jose Ortiz,Many Trails,2008,Laminated glass in mezzanine windows,https://new.mta.info/agency/arts-design/collection/many-trails
NYCT,Rockaway Park-Beach 116 St,A; S,KK Kozik,First on the Beach and Wednesday Night Fireworks,2008,Laminated glass,https://new.mta.info/agency/arts-design/collection/first-on-the-beach-and-wednesday-night-fireworks
NYCT,Burnside Av,4,Laura Battle,How to get to the moon...,2008,Laminated glass,https://new.mta.info/agency/arts-design/collection/how-to-get-to-the-moon
NYCT,Simpson St,2; 5,Lisa Amowitz,Urban Renewal,2008,Faceted Glass,https://new.mta.info/agency/arts-design/collection/urban-renewal
LIRR,Valley Stream Station,Babylon and Rockaway Branches,Malin Abrahamsson,On the Trail of the Rising Sun,2008,Glass and ceramic mosaic in waiting room and stair and escalator enclosures; terrazzo floor in ticket office,https://new.mta.info/agency/arts-design/collection/on-the-trail-of-the-rising-sun
NYCT,Prospect Av,2; 5,Marina Tsersarskaya,Bronx. Four Seasons,2008,Faceted glass,https://new.mta.info/agency/arts-design/collection/bronx-four-seasons
NYCT,Halsey St,J,SOL'SAX,SOL'SCRYPTT,2008,Faceted Glass,https://new.mta.info/agency/arts-design/collection/sol-scrypt
LIRR,Atlantic Terminal,City Terminal Zone,Allan & Ellen Wexler (in collaboration with di Domenico + Partners),Overlook,2009,Granite and glass,https://new.mta.info/agency/arts-design/collection/overlook
NYCT,Jay St-MetroTech,A; C; F; R,Ben Snead,Departures and Arrivals,2009,Glass and ceramic mosaic,https://new.mta.info/agency/arts-design/collection/departures-and-arrivals
LIRR,Seaford,Babylon,Carson Fox,Blue Sky Pursuit,2009,Laminated and tempered glass,https://new.mta.info/agency/arts-design/collection/blue-sky-pursuit
NYCT,South Ferry,1,Doug & Michael Starn,See it split; see it change,2009,Fused Glass; stone mosaic; stainless steel,https://new.mta.info/agency/arts-design/collection/see-it-split-see-it-change
Metro-North,Yankees-East 153rd Street,Hudson,Ellen Harvey,The Home of the Stars,2009,Glass mosaic,https://new.mta.info/agency/arts-design/collection/the-home-of-the-stars
NYCT,Jackson Av,2; 5,George Crespo,Latin American Stories,2009,Faceted Glass,https://new.mta.info/agency/arts-design/collection/latin-american-stories
Metro-North,Philipse Manor,Hudson,Joseph Cavalieri,North; South and Home,2009,Faceted Glass,https://new.mta.info/agency/arts-design/collection/north-south-and-home
NYCT,59 St-Columbus Circle,A; B; C; D; 1,Sol LeWitt,Whirls and twirls (MTA),2009,Hand-made ceramic tile; porcelain tile,https://new.mta.info/agency/arts-design/collection/whirls-and-twirls-mta
NYCT,Wakefield-241 St,2,Alfredo Ceibal,Permanent Residents and Visitors,2010,Faceted Glass,https://new.mta.info/agency/arts-design/collection/permanent-residents-and-visitors
NYCT,Whitlock Av,6,Barbara Grygutis,Bronx River View,2010,Stainless steel,https://new.mta.info/agency/arts-design/collection/bronx-river-view
NYCT,Ocean Pkwy,Q,Deborah Masters,Coney Island Reliefs,2010,Concrete,https://new.mta.info/agency/arts-design/collection/coney-island-reliefs
Metro-North,Scarborough,Hudson,Liliana Porter and Ana Tiscornia,Untitled with Sky,2010,Faceted glass; glass mosaic,https://new.mta.info/agency/arts-design/collection/untitled-with-sky
NYCT,Morrison Av-Soundview,6,Maria Cristalli & Marc Brown,The Land Between Two Waters,2010,Forged Steel,https://new.mta.info/agency/arts-design/collection/the-land-between-two-waters
NYCT,96 St,1;2;3,Masamichi Udagawa & Sigi Moeslinger,Bloemendaal,2010,Stainless Steel,https://new.mta.info/agency/arts-design/collection/bloemendaal
Metro-North,Ossining,Hudson,Robert Goodnough,KÑMÑG,2010,Faceted glass,https://new.mta.info/agency/arts-design/collection/k-m-g
NYCT,St Lawrence Av,6,Alison Mortisugu,Community (Acer rubrum; Rosa palustris; Smilax rotundifolia; Carya cordiformis);,2011,Mosaic on board,https://new.mta.info/agency/arts-design/collection/community
NYCT,86 St,R,Amy Bennett,Heydays,2011,Mosaic on board,https://new.mta.info/agency/arts-design/collection/heydays
Metro-North,Port Chester,New Haven,Bernard Greenwald,Port Chester Scenes,2011,laminated glass in 3 shelters; Stainless steel,https://new.mta.info/agency/arts-design/collection/images-of-port-chester
