Agency,Station Name,Line,Artist,Art Title,Art Date,Art Material,Art Image Link
NYCT,Clark St,2;3,Ray Ring,Clark Street Passage,1987,Terrazzo floor tile,https://new.mta.info/agency/arts-design/collection/clark-street-passage
NYCT,125 St,4;5;6,Houston Conwill,The Open Secret,1986,Bronze - polychromed,https://new.mta.info/agency/arts-design/collection/open-secret
NYCT,Astor Pl,6,Milton Glaser,Untitled,1986,Porcelain enamel murals,https://new.mta.info/agency/arts-design/collection/untitled-glaser-astor
NYCT,Kings Hwy,B;Q,Rhoda Andors,Kings Highway Hieroglyphs,1987,Porcelain Enamel Murals on Steel,https://new.mta.info/agency/arts-design/collection/Kings-Highway-Hieroglyphs
NYCT,Newkirk Av,B;Q,David Wilson,Transit Skylight,1988,Zinc-glazed Apolycarbonate skylight,https://new.mta.info/agency/arts-design/collection/transit-skylight
NYCT,137 St-City College,1,Steve Wood,Fossils,1988,Bronze,https://new.mta.info/agency/arts-design/collection/fossils
NYCT,23 St,6,Valerie Jaudon,Long Division,1988,Wrought iron railings,https://new.mta.info/agency/arts-design/collection/long-division
NYCT,50 St,C;E,Matt Mullican,Untitled,1989,Stone - Etched granite,https://new.mta.info/agency/arts-design/collection/untitled-50-st
NYCT,86 St,1,Nitza Tufi–o (in collaboration with Grosvenor Neighborhood House Student Muralists),Westside Views,1989,Ceramic Tile,https://new.mta.info/agency/arts-design/collection/westside-views
Metro-North,Tuckahoe,Harlem,Arthur Gonzalez,The Finder/The Seekers,1990,Bronze and Steel sheet;  Found objects (tin toys; etc.),https://new.mta.info/agency/arts-design/collection/the-finder-the-seekers-time-catcher
Metro-North,Fleetwood,Harlem,Arthur Gonzalez,Time Catcher,1990,Bronze - patinated and Steel sheet; Found object (tin toys; etc.),https://new.mta.info/agency/arts-design/collection/the-finder-the-seekers-time-catcher
NYCT,Grand Central-42 St,S;4;5;6;7,Dan Sinclair,Fast Track and Speedwheels,1990,Stainless steel; copper and brass,https://new.mta.info/agency/arts-design/collection/fast-track-speedwheels
NYCT,Wall St,2;3,Harry Roseman,Subway Wall,1990,Bronze - patinated,https://new.mta.info/agency/arts-design/collection/subway-wall
NYCT,104 St,J;Z,Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,111 St,J;Z,Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,Woodhaven Blvd,J;Z,Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,103 St,6,Nitza Tufi–o,Neo-Boriken,1990,Ceramic tile; red clay; glazes;  WonderBoard panel backing,https://new.mta.info/agency/arts-design/permanent-art/neo-boriken
Metro-North,Harlem-125 St,City Terminal Zone,Alison Saar,Hear the Lone Whistle Moan,1991,Bronze - patinated,https://new.mta.info/agency/arts-design/collection/copacetic-hear-the-lone-whistle
Metro-North,Mount Vernon West,Harlem,Martha Jackson-Jarvis,Travelin' Time,1991,Glass and Ceramic Mosaic,https://new.mta.info/agency/arts-design/collection/travelin-time
NYCT,34 St-Herald Sq,B;D;F;M;Q;N;R;W,Michele Oka Doner,Radiant Site,1991,Ceramic tiles,https://new.mta.info/agency/arts-design/collection/radiant-site
NYCT,116 St-Columbia University,1,Michelle Greene,Railrider's Throne,1991,Steel,https://new.mta.info/agency/arts-design/collection/railriders-throne
NYCT,34 St-Herald Sq,B;D;F;M;N;Q;R,Nicholas Pearson,Halo,1991,Coiled aluminum - chemically etched; Lighting Elements,https://new.mta.info/agency/arts-design/collection/halo
NYCT,42 St-Port Authority Bus Terminal,A;C;E;N;R;Q;S;1;2;3;7,Norman B Colp,The Commuter's Lament/A Close Shave,1991,Porcelain enamel on ceiling beams in passageway connecting 7th and 8th Ave. lines,https://new.mta.info/agency/arts-design/collection/commuters-lament
Metro-North,North White Plains,Harlem,Rolando Brise–o,At the Table,1991,Cast aluminum; painted,https://new.mta.info/agency/arts-design/collection/at-the-table
NYCT,Jamaica Ctr-Parsons/Archer,E;J;Z,Sam Gilliam,Jamaica Center Station Riders; Blue,1991,Aluminum - painted,https://new.mta.info/agency/arts-design/collection/jamaica-center-station-riders-blue
Metro-North,Scarsdale,Harlem,Tom Nussbaum,Travelers,1991,Cor-ten steel,https://new.mta.info/agency/arts-design/collection/workers-hartsdale
Metro-North,Hartsdale,Harlem,Tom Nussbaum,Workers,1991,Cor-ten steel,https://new.mta.info/agency/arts-design/collection/workers-hartsdale
NYCT,207 St,1,Wopo Holup,Elevated Nature I-IV,1991,Cast concrete,
NYCT,125 St,1,Wopo Holup,River to River,1991,Cast concrete,
LIRR,Bay Shore,Montauk,Brit Bunkley,Bay Shore Icons,1992,Cast concrete - Jesmonite castings,https://new.mta.info/agency/arts-design/collection/bay-shore-icons
NYCT,34 St-Herald Sq,B;D;F;M;N;R;Q,David Provan,Yab-Yum,1992,Aluminum; Steel,https://new.mta.info/agency/arts-design/collection/yab-yum
LIRR,Great Neck (relocated from LIRR Westbury in 2001),Port Washington,David Saunders,Conductor's Watch and Key Chain,1992,Aluminum,https://new.mta.info/agency/arts-design/collection/conductors-watch-and-key-chain
NYCT,Court Sq-23 St,E; M; G; 7,Frank Olt,Temple Quad Reliefs,1992,Ceramic tile;  Glass mosaic,https://new.mta.info/agency/arts-design/collection/temple-quad-reliefs
NYCT,Intervale Av,2;5,Michael Kelly Williams,El 2 and El 5,1992,Glass mosaic,https://new.mta.info/agency/arts-design/collection/el-2-and-el-5
B&T,Hugh L. Carey Tunnel,,R. M. Fischer,Brooklyn-Battery Tunnel Clock,1992,Stainless Steel and Aluminum; Lighting Elements; Clock,https://new.mta.info/agency/arts-design/collection/brooklyn-battery-tunnel-clock
LIRR,Merrick,Babylon,Alan Sonfist,The Narrative History of Merrick,1993,Ceramic - porcelain tiles,https://new.mta.info/agency/arts-design/collection/narrative-history-of-merrick-bellmore
LIRR,Bellmore,Babylon,Alan Sonfist,The Narrative History of Bellmore,1993,Ceramic - porcelain tiles,https://new.mta.info/agency/arts-design/collection/narrative-history-of-merrick-bellmore
NYCT,Westchester Sq-E Tremont Av,6,Romare Bearden,City of Glass,1993,Faceted glass,https://new.mta.info/agency/arts-design/collection/untitled-city-of-light
LIRR,Penn Station,City Terminal Zone,Andrew Leicester,Ghost Series: Corinthian Capital; Plinth; Day and Night; Mercury Man; Broken Column; Drawing of Old Pennsylvania Station,1994,Ceramic - Terra cottacarved relief,https://new.mta.info/agency/arts-design/collection/ghost-series-day-night
NYCT,Houston St,1,Deborah Brown,Platform Diving,1994,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/platform-diving
NYCT,Union St,R,Emmett Wigglesworth,CommUnion,1994,Porcelain Enamel; ceramic tile,https://new.mta.info/agency/arts-design/collection/communion
NYCT,57 St-7 Av,N;Q;R,Josh Scharf,Carnegie Hall Montage,1994,Porcelain enamel; Ceramic tile with text,https://new.mta.info/agency/arts-design/collection/carnegie-hall-montage
NYCT,96 St,6,Laura Bradley,City Suite,1994,Marble and stone mosaic,https://new.mta.info/agency/arts-design/collection/city-suite
NYCT,Christopher St-Sheridan Sq,1,Lee Brozgol,The Greenwich Village Murals,1994,Ceramic tile; Glass mosaic,https://new.mta.info/agency/arts-design/collection/the-greenwich-village-murals
NYCT,50 St,1,Liliana Porter,Alice: The Way Out,1994,Ceramic mosaic,http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&artist=1&station=11
NYCT,Cortelyou Rd,Q,Patsy Norvell,Garden Stops,1994,Sandblasted and Laminated Glass Windows; Steel Railings (stair railing & exterior fence),https://new.mta.info/agency/arts-design/collection/garden-stops
NYCT,Beverley Rd,Q,Patsy Norvell,Garden Stops,1994,Sandblasted and Laminated Glass Windows; Steel Railings (stair railing & exterior fence),https://new.mta.info/agency/arts-design/collection/garden-stops
NYCT,Prospect Park,B;Q;S,Susan Tunick,Brighton Clay Re-Leaf Nos. 1-4,1994,Ceramic mosaic,https://new.mta.info/agency/arts-design/collection/brighton-clay-re-leafs-nos-1-4
NYCT,Parkside Av,Q,Susan Tunick,Brighton Clay Re-Leaf Nos. 1-4,1994,Ceramic mosaic,https://new.mta.info/agency/arts-design/collection/brighton-clay-re-leafs-nos-1-4
LIRR,Ronkonkoma,Ronkonkoma,Alice Adams,Planting (Dedicated to Long Island Tree Farmers),1995,Paving; planting; seating; curving brick walls; and cast concrete tree balls with cast aluminum rope inserts,https://new.mta.info/agency/arts-design/collection/planting
NYCT,Grand Army Plaza,2;3,Jane Greengold,Wings for the IRT: The Irresistible Romance of Travel,1995,Ceramic tile;  Bronze,https://new.mta.info/agency/arts-design/collection/wings-for-the-irt
NYCT,135 St,2;3,Willie Birch,Harlem Timeline,1995,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/harlem-timeline
NYCT,34 St-Herald Sq,N;R;Q,Christopher Janney,Reach New York; An Urban Musical Instrument,1996,Sound installation (painted steel; plastic; lighting; and computerized components),https://new.mta.info/agency/arts-design/collection/reach-new-york
NYCT,Lexington Av/59 St,4;5;6;N;R;W,Elizabeth Murray,Blooming,1996,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/blooming
NYCT,125 St,2;3,Faith Ringgold,Flying Home: Harlem Heroes and Heroines (Downtown and Uptown),1996,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/flying-home-harlem-heros-and-heroines
NYCT,Utica Av,A;C,Jimmy James Greene,Children's Cathedral,1996,Ceramic mosaic; Wrought iron,https://new.mta.info/agency/arts-design/collection/childrens-cathedral
NYCT,3 Av-149 St,2;5,JosŽ Ortega,Una Raza; Un Mundo; Universo (One Race; One World; One Universe),1996,Ceramic mosaic,https://new.mta.info/agency/arts-design/collection/una-raza-un-mundo-universo
NYCT,110 St,6,Manuel Vega,S‡bado en la Ciento Diez (Saturday on 110th Street),1996,Ceramic mosaic,https://new.mta.info/agency/arts-design/collection/sabado-en-la-ciento-diez
NYCT,Brooklyn Bridge-City Hall/Chambers St,J;M;4;5;6,Mark Gibian,Cable Crossing,1996,"Steel with galvinized steel cable (and some zinc plated copper swaged sleeve fittings or ""Nicopress"".)",https://new.mta.info/agency/arts-design/collection/cable-crossing
NYCT,Flatbush Av-Brooklyn College,2;5,Muriel Castanis,Flatbush Floogies,1996,Bonded Bronze; Metalized liquid - resin and fiberglass,https://new.mta.info/agency/arts-design/collection/flatbush-floogies
NYCT,Woodhaven Blvd,M;R,Pablo Tauler,In Memory of the Lost Batallion,1996,Stainless steel; iron; faceted glass,https://new.mta.info/agency/arts-design/collection/three-statues
NYCT,Roosevelt Island,F,Robert Hickman,Convex Disk at Roosevelt Island,1996,Stratified glass squares mounted on a steel armature,
Metro-North,Cortlandt,Hudson,Robert Taplin,Three Statues (A Short History of the Lower Hudson Valley),1996,Bronze - patinated Hercalloy;  Forest Green Granite,https://new.mta.info/agency/arts-design/collection/three-statues
NYCT,5 Av/59 St,N;R;Q,Ann Schaumburger,Urban Oasis,1997,Glass and ceramic mosaic,https://new.mta.info/agency/arts-design/collection/urban-oasis
NYCT,Nevins St,2;3;4;5,Anton van Dalen,Work & Nature,1997,Porcelain Enamel on Steel,https://new.mta.info/agency/arts-design/collection/work-and-nature
NYCT,33 St,6,James Garvey,Lariat Seat Loops,1997,Bronze - hand forged,https://new.mta.info/agency/arts-design/collection/lariat-seat-loops
NYCT,Cortlandt St,R,Margie Hughto,Trade; Treasure and Travel,1997,Ceramic relief tile,https://new.mta.info/agency/arts-design/collection/trade-treasure-travel
NYCT,Broadway-Lafayette St,B;D;F;M;6,Mel Chin,Signal,1997,Stainless steel;Lighting elements;ceramic tile; Electronic light controllers,https://new.mta.info/agency/arts-design/collection/signal
Metro-North,Grand Central Terminal,City Terminal Zone,Roberto Juarez,A Field of Wild Flowers,1997,Painting - Mixed media,https://new.mta.info/agency/arts-design/collection/field-of-wild-flowers
NYCT,Canal St,N;R;Q;W;J;Z;6,Bing Lee,Empress Voyage 2.22.1794,1998,Ceramic Tile;  Glass mosaic,https://new.mta.info/agency/arts-design/collection/empress-voyage-2-22-1794
NYCT,Sheepshead Bay,B;Q,Deborah Goletz,Postcards from Sheepshead Bay,1998,Ceramic Tiles,https://new.mta.info/agency/arts-design/collection/postcards-from-sheepshead-bay
Metro-North,Grand Central Terminal,City Terminal Zone,Donald Lipski,Sirshasana,1998,Glass crystals with brass fittings.Fiberglass over aluminum armature; Acrylic paint and Lighting elements,https://new.mta.info/agency/arts-design/collection/sirshasana
NYCT,34 St-Penn Station,1;2;3,Elizabeth Grajales,When the animals speak...,1998,Ceramic mosaic,https://new.mta.info/agency/arts-design/collection/when-animals-speak
Metro-North,Grand Central Terminal,City Terminal Zone,Ellen Driscoll,As Above; So Below,1998,Glass mosaic; Cast glass; Bronze; and Etched stone.,https://new.mta.info/agency/arts-design/collection/as-above-so-below
LIRR,Huntington,Port Jefferson,Joe Zucker,For My Grandfather Noye Pride; A Locomotive Engineer,1998,Faceted glass,https://new.mta.info/agency/arts-design/collection/for-my-grandfather-noye-pride-locomotive-engineer
NYCT,Chambers St/Park Pl,A;C;E;2;3,Kristin Jones & Andrew Ginzel,Oculus,1998,Stone and glass mosaic (eyes) Stone and glass mosaic (floor),https://new.mta.info/agency/arts-design/collection/oculus
NYCT,Central Park North (110 St),2;3,Maren Hassinger,Message from Malcolm,1998,Glass mosaic,https://new.mta.info/agency/arts-design/collection/message-from-malcom
NYCT,14 St-Union Sq,L;N;R;Q;4;5;6,Mary Miss,Framing Union Square,1998,Aluminum - painted;safety glass and enameled steel; mirrors,https://new.mta.info/agency/arts-design/collection/framing-union-square
NYCT,36 St,D;N;R,Owen Smith,An Underground Movement: Designers; Builders; Riders,1998,Ceramic mosaic,https://new.mta.info/agency/arts-design/collection/underground-movement-designers-builders-riders
NYCT,Cathedral Pkwy (110 St),B;C,Christopher Wynter,Migration,1999,Ceramic and Glass mosaic,https://new.mta.info/agency/arts-design/collection/migration
NYCT,Brighton Beach,B;Q,Dan George,Mermade/Dionysus and the Pirates,1999,Aluminum,https://new.mta.info/agency/arts-design/collection/mermade-dionysus-and-the-pirates
NYCT,Woodside-61 St,7,Dimitri Gerakaris,Woodside Continuum,1999,Wrought iron and stainless steel railing,https://new.mta.info/agency/arts-design/collection/woodside-continuum
LIRR,Bayside,City Terminal Zone,Ed McGowin,Bayside Story,1999,Bronze,https://new.mta.info/agency/arts-design/collection/bayside-story
NYCT,Franklin Av,C;S,Eric Pryor,Life and Continued Growth,1999,Faceted Glass,https://new.mta.info/agency/arts-design/collection/life-and-continued-growth
NYCT,Flushing-Main St,7,Ik-Joong Kang,Happy World,1999,Ceramic tile,https://new.mta.info/agency/arts-design/collection/happy-world
NYCT,Park Pl,S,Isha Shabaka,Units of the Free,1999,Wrought Iron,https://new.mta.info/agency/arts-design/collection/units-of-free
NYCT,Botantic Garden/Franklin Av,S;2;3;4;5,Millie Burns,IL7/Square,1999,Wrought Iron,https://new.mta.info/agency/arts-design/collection/il7-square
NYCT,Inwood-207 St,A,Sheila Levrant de Bretteville,At the Start... At Long Last...,1999,Glass mosaic; Granite; Terrazzo; Stainless steel; Ceramic tile with text,https://new.mta.info/agency/arts-design/collection/at-the-start-at-long-last
Metro-North,Harlem-125 St,City Terminal Zone,Terry Adkins,Harlem Encore,1999,Aluminum; Lighting elements,https://new.mta.info/agency/arts-design/collection/harlem-encore
NYCT,116 St,2;3,Vincent Smith,Minton's Playhouse (uptown); The Movers and Shakers (downtown),1999,Glass mosaic,https://new.mta.info/agency/arts-design/collection/mintons-playhouse-the-movers-and-shakers
NYCT,46 St,7,Yumi Heo,Q is for Queens,1999,Faceted Glass,https://new.mta.info/agency/arts-design/collection/q-is-for-queens
NYCT,40 St,7,Yumi Heo,Q is for Queens,1999,Faceted Glass,https://new.mta.info/agency/arts-design/collection/q-is-for-queens
NYCT,33 St,7,Yumi Heo,Q is for Queens,1999,Faceted Glass,https://new.mta.info/agency/arts-design/collection/q-is-for-queens
Metro-North,Wassaic,Wassaic,Anne Huibregtse,Arrival,2000,Bronze,https://new.mta.info/agency/arts-design/collection/arrival
NYCT,Grand Central-42 St,7;4;5;6;S,Christopher Sproat,V-Beam,2000,Lighting elements; Stainless steel,https://new.mta.info/agency/arts-design/collection/v-beam
NYCT,Whitehall St,R,Frank Giorgini,Passages,2000,Ceramic tile; Wrought iron; Stone,https://new.mta.info/arts-and-design/collections/passages
NYCT,Tremont Avenue,B;D,Frank Leslie Hampton,Uptown New York,2000,Glass mosaic,https://new.mta.info/arts-and-design/collections/uptown-new-york
NYCT,Metropolitan Av/Lorimer St,G,Jackie Chang,Signs of Life,2000,Ceramic Tile; glass mosaic; Stone - absolute black granite,https://new.mta.info/agency/arts-design/collection/signs-of-life
NYCT,Grand Central-42 Street,S;4;5;6;7,Jackie Ferrara,Grand Central: Arches; Towers; Pyramids,2000,Ceramic mosaic,https://new.mta.info/agency/arts-design/collection/grand-central-arches-towers-pyramids
NYCT,81 St-Museum of Natural History,B;C,MTA Arts & Design Collaborative,For Want of a Nail,2000,Glass and ceramic mosaic; handmade ceramic relief tiles; hand-cast glass; bronze and cut granite floor tiles,https://new.mta.info/agency/arts-design/collection/for-want-of-a-nail
NYCT,Queensboro Plaza,N;W;7,Sydney Cash,Columns,2000,Glass; steel; ceramic ink,https://new.mta.info/agency/arts-design/collection/columns
NYCT,Broadway Junction,A;C;J;L;Z,Al Loving,Brooklyn; New Morning,2001,Faceted glass throughout complex; glass mosaic on upper mezzanine wall,https://new.mta.info/agency/arts-design/collection/brooklyn-new-morning
NYCT,Court Sq-23 St,E;M;G;7,Elizabeth Murray,Stream,2001,Glass mosaic,https://new.mta.info/agency/arts-design/collection/stream
NYCT,34 St-Penn Station,A;C;E,Eric Fischl,The Garden of Circus Delights,2001,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/garden-of-circus-delights
NYCT,Times Sq-42 St,N;Q;R;S;1;2;3;7;A;C;E,Jacob Lawrence,New York in Transit,2001,glass mosaic,https://new.mta.info/agency/arts-design/collection/new-york-in-transit
NYCT,Church Av,2;5,Louis Delsarte,Transitions,2001,Glass mosaic,https://new.mta.info/agency/arts-design/collection/transitions
Metro-North,Mount Vernon East,New Haven,Majorie Blackwell,Tranquility,2001,Faceted glass,https://new.mta.info/agency/arts-design/collection/tranquility
NYCT,66 St-Lincoln Center,1,Nancy Spero,Artemis; Acrobats; Divas; and Dancers,2001,Glass and Ceramic Mosaic,https://new.mta.info/agency/arts-design/collection/artemis-acrobats-divas-and-dancers
NYCT,14 St-8 Av,A;C;E;L,Tom Otterness,Life Underground,2001,Bronze,https://new.mta.info/agency/arts-design/collection/life-underground
NYCT,Canal St,A;C;E,Walter Martin & Paloma Mu–oz,A Gathering,2001,Bronze sculptures on token booth; railings; and beams throughout mezzanine,https://new.mta.info/agency/arts-design/collection/a-gathering
NYCT,Lorimer St,J;M,Annette Davidek,Roundlet Series,2002,Faceted glass,https://new.mta.info/agency/arts-design/collection/roundlet-series
NYCT,Gates Av,J;Z,Chris Wade Robinson,Dream Train,2002,Faceted glass,https://new.mta.info/agency/arts-design/collection/dream-train
NYCT,161 St-Yankee Stadium,B;D;4,Helene Brandt,Room of Tranquility,2002,Glass; stone and marble mosaic,https://new.mta.info/agency/arts-design/collection/room-of-tranquility
